epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2945,2.49756,3.7028,2.55206,0,0.00039,0,0,4.58415,inf,42.8891,0.0702727,0.00330303,0.00330303
2,91.8578,2.428,3.42668,2.53438,0.30932,0.0054,0.00437,0.00105,2.98313,77.8531,3.67873,0.0401413,0.00650496,0.00650496
3,132.089,2.35126,3.41794,2.44687,0.00141,0.00214,0.00072,0.00022,4.47118,6.31155,4.67921,0.00987793,0.0095749,0.0095749
4,173.663,2.27687,3.31935,2.40989,0.78745,0.04874,0.02118,0.00598,2.58855,10.3894,2.94766,0.009406,0.009406,0.009406
5,214.712,2.22906,3.25876,2.35972,0.54595,0.05388,0.03337,0.00923,2.49764,4.65338,2.85646,0.009208,0.009208,0.009208
6,253.741,2.17491,3.12234,2.24966,0.04852,0.05363,0.03577,0.01114,2.41386,4.923,2.62551,0.00901,0.00901,0.00901
7,291.63,2.15519,3.12209,2.2614,0.80903,0.06083,0.04118,0.01269,2.32336,4.06024,2.54554,0.008812,0.008812,0.008812
8,333.645,2.09694,3.04175,2.1956,0.31842,0.09027,0.04534,0.01529,2.20708,3.30882,2.43707,0.008614,0.008614,0.008614
9,376.781,2.04807,2.99958,2.16642,0.84121,0.07497,0.06586,0.02212,2.26036,3.04827,2.54184,0.008416,0.008416,0.008416
10,419.138,2.05281,2.90266,2.13982,0.5812,0.08179,0.0693,0.02488,2.2265,3.08024,2.42781,0.008218,0.008218,0.008218
11,462.781,2.02375,2.88671,2.1357,0.75069,0.07659,0.07151,0.02567,2.14963,3.18754,2.37556,0.00802,0.00802,0.00802
12,504.382,2.0105,2.78954,2.07961,0.3553,0.11956,0.07132,0.02492,2.21591,2.90111,2.37007,0.007822,0.007822,0.007822
13,547.394,1.96308,2.79065,2.07209,0.36481,0.1349,0.09996,0.03893,2.09917,2.61696,2.30541,0.007624,0.007624,0.007624
14,589.862,1.97005,2.74783,2.05473,0.37136,0.14322,0.09917,0.03606,2.08094,2.88327,2.30482,0.007426,0.007426,0.007426
15,632.567,1.943,2.73307,2.04717,0.40256,0.12535,0.11831,0.04906,1.95089,2.57597,2.18206,0.007228,0.007228,0.007228
16,675.634,1.92164,2.68047,2.01717,0.85867,0.10892,0.12084,0.05062,1.90438,2.74915,2.14869,0.00703,0.00703,0.00703
17,718.555,1.91537,2.69071,2.02699,0.63172,0.09617,0.0859,0.03044,2.13423,2.793,2.37278,0.006832,0.006832,0.006832
18,761.249,1.89153,2.64646,1.99293,0.65083,0.14564,0.11233,0.04117,2.10534,2.62032,2.33797,0.006634,0.006634,0.006634
19,804.221,1.87793,2.64582,1.98603,0.6103,0.14909,0.11468,0.04853,1.91486,2.64056,2.18169,0.006436,0.006436,0.006436
20,847.2,1.86138,2.62114,1.97071,0.6999,0.14704,0.14667,0.06188,1.91362,2.41532,2.13642,0.006238,0.006238,0.006238
21,888.284,1.83863,2.5718,1.97024,0.65923,0.17723,0.15241,0.06245,1.91508,2.3952,2.12958,0.00604,0.00604,0.00604
22,927.508,1.84674,2.55728,1.96238,0.64465,0.11607,0.08908,0.03528,2.01375,2.81168,2.26199,0.005842,0.005842,0.005842
23,966.402,1.83581,2.55178,1.9538,0.88826,0.10391,0.12216,0.05211,1.96309,2.69011,2.24067,0.005644,0.005644,0.005644
24,1005.27,1.8294,2.53521,1.95714,0.68297,0.1408,0.12796,0.05299,1.99038,2.5476,2.21625,0.005446,0.005446,0.005446
25,1044.17,1.79118,2.40465,1.88835,0.68269,0.16889,0.14387,0.06007,1.9581,2.38333,2.1768,0.005248,0.005248,0.005248
26,1082.94,1.80772,2.46696,1.93757,0.66904,0.15651,0.13934,0.06206,1.88579,2.43155,2.12742,0.00505,0.00505,0.00505
27,1121.82,1.74901,2.43597,1.87261,0.70008,0.14827,0.1545,0.06701,1.86314,2.39572,2.09174,0.004852,0.004852,0.004852
28,1160.96,1.76876,2.44392,1.88291,0.6695,0.16808,0.14506,0.06205,1.89189,2.4428,2.1116,0.004654,0.004654,0.004654
29,1199.87,1.73444,2.37719,1.84993,0.67149,0.17487,0.14282,0.06354,1.87015,2.35174,2.1057,0.004456,0.004456,0.004456
30,1238.66,1.76543,2.38953,1.90006,0.70783,0.19529,0.18276,0.08369,1.74393,2.22182,2.014,0.004258,0.004258,0.004258
31,1280.71,1.71536,2.36834,1.85778,0.73578,0.19826,0.19552,0.08946,1.8208,2.16494,2.03594,0.00406,0.00406,0.00406
32,1323.05,1.73423,2.36088,1.85671,0.73454,0.19418,0.19922,0.08922,1.78346,2.15257,2.02495,0.003862,0.003862,0.003862
33,1365.85,1.70588,2.34822,1.83901,0.72648,0.19327,0.17989,0.08212,1.73687,2.21076,2.00155,0.003664,0.003664,0.003664
34,1409.11,1.69924,2.32694,1.83665,0.69603,0.19681,0.17365,0.08048,1.79952,2.27182,2.03709,0.003466,0.003466,0.003466
35,1452.75,1.69018,2.2919,1.83097,0.74939,0.20696,0.20972,0.10136,1.71712,2.0941,1.96196,0.003268,0.003268,0.003268
36,1496.24,1.68824,2.27743,1.82466,0.72632,0.21338,0.20689,0.0987,1.6923,2.09755,1.93599,0.00307,0.00307,0.00307
37,1539.34,1.66858,2.26454,1.81051,0.74984,0.21294,0.21276,0.10385,1.7026,2.06892,1.94688,0.002872,0.002872,0.002872
38,1582.41,1.66582,2.22975,1.79466,0.72844,0.20885,0.20385,0.10096,1.68846,2.02999,1.9237,0.002674,0.002674,0.002674
39,1625.45,1.65112,2.20492,1.78076,0.76704,0.21334,0.22149,0.10745,1.68396,2.0504,1.94654,0.002476,0.002476,0.002476
40,1668.43,1.64782,2.16437,1.77641,0.75293,0.22122,0.2358,0.11657,1.68308,1.99678,1.92073,0.002278,0.002278,0.002278
41,1722.09,1.67368,2.11502,1.90079,0.76342,0.22137,0.22786,0.10948,1.69001,2.03773,1.93932,0.00208,0.00208,0.00208
42,1761.37,1.63792,2.02594,1.86898,0.776,0.24062,0.25357,0.12875,1.57986,1.87407,1.83233,0.001882,0.001882,0.001882
43,1800.99,1.6505,1.96994,1.87439,0.78698,0.23796,0.26143,0.13351,1.57263,1.86236,1.83083,0.001684,0.001684,0.001684
44,1840.3,1.61779,1.95806,1.84672,0.78215,0.24256,0.25981,0.13415,1.55417,1.87058,1.82509,0.001486,0.001486,0.001486
45,1879.73,1.6062,1.92886,1.85734,0.79644,0.24804,0.27494,0.14034,1.55337,1.81415,1.82639,0.001288,0.001288,0.001288
46,1919.16,1.59076,1.86963,1.83069,0.79124,0.2606,0.27657,0.14757,1.52105,1.75884,1.79104,0.00109,0.00109,0.00109
47,1958.72,1.58163,1.84668,1.81408,0.80467,0.2541,0.28818,0.15405,1.5086,1.76019,1.78877,0.000892,0.000892,0.000892
48,1998.06,1.55909,1.83702,1.79636,0.8122,0.26769,0.29157,0.15879,1.50406,1.71118,1.77677,0.000694,0.000694,0.000694
49,2037.44,1.55172,1.80919,1.79871,0.81246,0.26728,0.29907,0.16403,1.47393,1.67327,1.74962,0.000496,0.000496,0.000496
