epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6639,2.48604,3.68183,2.5283,0.00075,0.00641,0.00047,0.0001,3.34774,inf,74.5488,0.0702857,0.00330159,0.00330159
2,49.9321,2.4294,3.38225,2.55947,0.00253,0.01923,0.0015,0.00038,3.3165,5.82875,3.9003,0.04022,0.00656923,0.00656923
3,73.975,2.3255,3.31537,2.49733,0.00456,0.01154,0.00101,0.00034,2.76319,24.5434,3.3628,0.0100883,0.00977088,0.00977088
4,97.7481,2.26474,3.24571,2.43262,0.00169,0.34679,0.00504,0.00201,2.57084,5.34536,3.1638,0.009703,0.009703,0.009703
5,121.526,2.20895,3.18052,2.40094,0.00521,0.21859,0.01171,0.00478,2.6699,5.9444,3.1434,0.009604,0.009604,0.009604
6,145.444,2.16528,3.06783,2.28786,0.00466,0.19936,0.0143,0.00481,2.50484,3.98156,2.97038,0.009505,0.009505,0.009505
7,169.249,2.11317,3.02019,2.25049,0.07315,0.03974,0.01983,0.00673,2.52108,5.70899,2.99231,0.009406,0.009406,0.009406
8,193.004,2.07491,2.98043,2.21574,0.00799,0.24231,0.01721,0.00518,2.37777,3.92754,2.76927,0.009307,0.009307,0.009307
9,216.853,2.0425,2.89718,2.17227,0.0347,0.05128,0.01857,0.00596,2.26647,4.07368,2.71373,0.009208,0.009208,0.009208
10,241.325,2.01458,2.83166,2.11957,0.01776,0.03974,0.00886,0.00266,2.5298,3.74689,2.94946,0.009109,0.009109,0.009109
11,266.004,1.96913,2.82452,2.12934,0.01317,0.17244,0.00795,0.00204,2.6131,4.76381,3.17199,0.00901,0.00901,0.00901
12,290.638,2.01824,2.80167,2.13632,0.01151,0.21154,0.01191,0.00352,2.42422,4.27365,2.8964,0.008911,0.008911,0.008911
13,314.962,1.96416,2.72298,2.10064,0.02749,0.03846,0.01619,0.0047,2.41935,3.89807,2.9125,0.008812,0.008812,0.008812
14,338.462,1.93803,2.6498,2.05586,0.03357,0.06795,0.01946,0.00558,2.46847,3.82307,2.90945,0.008713,0.008713,0.008713
15,361.862,1.92508,2.68173,2.04824,0.03196,0.05128,0.01482,0.00387,2.44972,5.03267,2.93399,0.008614,0.008614,0.008614
16,385.294,1.91401,2.60322,2.0331,0.02219,0.0859,0.01404,0.00469,2.22133,4.33746,2.63765,0.008515,0.008515,0.008515
17,408.8,1.9024,2.66787,2.04686,0.04843,0.02115,0.02104,0.01001,2.17795,3.84785,2.67732,0.008416,0.008416,0.008416
18,432.236,1.86983,2.58001,2.01892,0.31166,0.04198,0.03409,0.01094,2.28242,3.94651,2.73383,0.008317,0.008317,0.008317
19,455.709,1.88367,2.5722,1.99209,0.28306,0.06923,0.02277,0.00692,2.25753,4.15129,2.66787,0.008218,0.008218,0.008218
20,479.195,1.84763,2.52437,1.96638,0.0621,0.05449,0.03039,0.01035,2.35623,4.87921,2.84687,0.008119,0.008119,0.008119
21,502.872,1.84922,2.53008,1.97303,0.29017,0.07115,0.02437,0.00971,2.40068,3.65982,2.82489,0.00802,0.00802,0.00802
22,527.268,1.83575,2.45792,1.95828,0.29512,0.08205,0.03051,0.00986,2.31156,3.68863,2.77856,0.007921,0.007921,0.007921
23,551.309,1.8242,2.43948,1.92918,0.04212,0.04808,0.02733,0.01112,2.21269,3.68179,2.63232,0.007822,0.007822,0.007822
24,576.303,1.80496,2.42845,1.92336,0.29164,0.05769,0.03587,0.01168,2.26699,3.83406,2.70254,0.007723,0.007723,0.007723
25,601.194,1.80102,2.41762,1.91565,0.27492,0.07564,0.02743,0.00771,2.26355,4.05988,2.67254,0.007624,0.007624,0.007624
26,626.308,1.81265,2.43525,1.92828,0.30788,0.04808,0.04105,0.01369,2.19936,3.66223,2.66046,0.007525,0.007525,0.007525
27,651.999,1.79737,2.36884,1.90463,0.30105,0.06795,0.03101,0.01233,2.30775,4.03294,2.74856,0.007426,0.007426,0.007426
28,675.962,1.7822,2.40363,1.89803,0.30589,0.04808,0.03357,0.0114,2.28852,3.36884,2.68227,0.007327,0.007327,0.007327
29,700.472,1.7722,2.34877,1.8801,0.30582,0.04808,0.04474,0.01483,2.22992,3.72674,2.72298,0.007228,0.007228,0.007228
30,725.399,1.7721,2.32249,1.8792,0.37596,0.05449,0.05932,0.01955,2.2679,3.61364,2.63964,0.007129,0.007129,0.007129
31,750.048,1.76189,2.29564,1.87913,0.32041,0.08013,0.05074,0.01564,2.26017,3.70994,2.76728,0.00703,0.00703,0.00703
32,774.128,1.74145,2.31125,1.87211,0.3293,0.05449,0.04462,0.01534,2.33022,3.55284,2.75372,0.006931,0.006931,0.006931
33,798.077,1.7482,2.28922,1.88043,0.32702,0.05449,0.04344,0.01367,2.37711,3.74987,2.79268,0.006832,0.006832,0.006832
34,821.893,1.72996,2.27196,1.88371,0.35912,0.0609,0.07053,0.02413,2.28034,3.30937,2.74228,0.006733,0.006733,0.006733
35,845.749,1.69264,2.19074,1.81795,0.34229,0.06191,0.05038,0.01821,2.26639,3.64847,2.78186,0.006634,0.006634,0.006634
36,869.539,1.70774,2.24068,1.83703,0.38164,0.06061,0.07853,0.02937,2.01951,3.41668,2.46862,0.006535,0.006535,0.006535
37,893.345,1.68412,2.20461,1.82479,0.34094,0.06731,0.06785,0.01924,2.31223,3.34775,2.76175,0.006436,0.006436,0.006436
38,917.132,1.69023,2.1888,1.81139,0.38124,0.07692,0.08362,0.02454,2.16549,3.48987,2.66051,0.006337,0.006337,0.006337
39,940.892,1.66773,2.20049,1.83925,0.35351,0.0609,0.06696,0.02305,2.15815,3.35821,2.59088,0.006238,0.006238,0.006238
40,964.633,1.68796,2.23664,1.85482,0.30274,0.07051,0.04513,0.01552,2.2512,3.40624,2.70606,0.006139,0.006139,0.006139
41,988.437,1.65515,2.17376,1.80271,0.37511,0.05769,0.06851,0.02441,2.2058,3.60319,2.61423,0.00604,0.00604,0.00604
42,1012.31,1.68474,2.15014,1.83608,0.32976,0.07372,0.061,0.02105,2.19806,3.55943,2.64076,0.005941,0.005941,0.005941
43,1036.07,1.65378,2.15469,1.81054,0.345,0.07372,0.07508,0.02531,2.15572,3.57579,2.65595,0.005842,0.005842,0.005842
44,1059.79,1.67277,2.13286,1.80346,0.34455,0.07372,0.06891,0.02563,2.12207,3.39659,2.59941,0.005743,0.005743,0.005743
45,1083.87,1.65092,2.0847,1.78379,0.33221,0.09872,0.05816,0.02301,2.20294,3.57965,2.67523,0.005644,0.005644,0.005644
46,1107.29,1.65021,2.08817,1.78642,0.31983,0.07885,0.0644,0.02502,2.16729,3.3382,2.66684,0.005545,0.005545,0.005545
47,1130.73,1.62035,2.07908,1.78177,0.31479,0.0609,0.05067,0.01739,2.11707,3.42552,2.58792,0.005446,0.005446,0.005446
48,1154.18,1.61148,2.07061,1.76309,0.31713,0.05449,0.05898,0.0257,2.18044,3.31062,2.64018,0.005347,0.005347,0.005347
49,1177.59,1.63062,2.07018,1.78103,0.33178,0.08974,0.06483,0.02479,2.14242,3.47025,2.58085,0.005248,0.005248,0.005248
50,1201.08,1.59298,2.05166,1.7568,0.30279,0.1,0.05401,0.021,2.0453,3.36205,2.58612,0.005149,0.005149,0.005149
